,mpg,displacement,model year,cylinders,weight,acceleration,horsepower,car_name
14,24.0,113.0,70,4,2372.0,15.0,95.00,toyota corona mark ii
18,27.0,97.0,70,4,2130.0,14.5,88.00,datsun pl510
29,27.0,97.0,71,4,2130.0,14.5,88.00,datsun pl510
31,25.0,113.0,71,4,2228.0,14.0,95.00,toyota corona
53,31.0,71.0,71,4,1773.0,19.0,65.00,toyota corolla 1200
54,35.0,72.0,71,4,1613.0,18.0,69.00,datsun 1200
57,24.0,113.0,72,4,2278.0,15.5,95.00,toyota corona hardtop
71,19.0,70.0,72,3,2330.0,13.5,97.00,mazda rx2 coupe
81,28.0,97.0,72,4,2288.0,17.0,92.00,datsun 510 (sw)
82,23.0,120.0,72,4,2506.0,14.5,97.00,toyouta corona mark ii (sw)
84,27.0,97.0,72,4,2100.0,16.5,88.00,toyota corolla 1600 (sw)
108,20.0,97.0,73,4,2279.0,19.0,88.00,toyota carina
110,22.0,108.0,73,4,2379.0,16.5,94.00,datsun 610
111,18.0,70.0,73,3,2124.0,13.5,90.00,maxda rx3
123,20.0,156.0,73,6,2807.0,13.5,122.0,toyota mark ii
129,31.0,79.0,74,4,1950.0,19.0,67.00,datsun b210
131,32.0,71.0,74,4,1836.0,21.0,65.00,toyota corolla 1200
144,31.0,76.0,74,4,1649.0,16.5,52.00,toyota corona
145,32.0,83.0,74,4,2003.0,19.0,61.00,datsun 710
149,24.0,120.0,74,4,2489.0,15.0,97.00,honda civic
150,26.0,108.0,74,4,2391.0,15.5,93.00,subaru
167,29.0,97.0,75,4,2171.0,16.0,75.00,toyota corolla
171,24.0,134.0,75,4,2702.0,13.5,96.00,toyota corona
173,24.0,119.0,75,4,2545.0,17.0,97.00,datsun 710
181,33.0,91.0,75,4,1795.0,17.5,53.00,honda civic cvcc
198,33.0,91.0,76,4,1795.0,17.4,53.00,honda civic
204,32.0,85.0,76,4,1990.0,17.0,70.00,datsun b-210
205,28.0,97.0,76,4,2155.0,16.4,75.00,toyota corolla
210,19.0,156.0,76,6,2930.0,15.5,108.0,toyota mark ii
216,31.5,98.0,77,4,2045.0,18.5,68.00,honda accord cvcc
220,33.5,85.0,77,4,1945.0,16.8,70.00,datsun f-10 hatchback
235,26.0,97.0,77,4,2265.0,18.2,75.00,toyota corolla liftback
239,30.0,97.0,77,4,1985.0,16.4,67.00,subaru dl
241,22.0,146.0,77,6,2815.0,14.5,97.00,datsun 810
243,21.5,80.0,77,3,2720.0,13.5,110.0,mazda rx-4
246,32.8,78.0,78,4,1985.0,19.4,52.00,mazda glc deluxe
247,39.4,85.0,78,4,2070.0,18.6,70.00,datsun b210 gx
248,36.1,91.0,78,4,1800.0,16.4,60.00,honda civic cvcc
267,27.5,134.0,78,4,2560.0,14.2,95.00,toyota corona
268,27.2,119.0,78,4,2300.0,14.7,97.00,datsun 510
270,21.1,134.0,78,4,2515.0,14.8,95.00,toyota celica gt liftback
273,23.9,119.0,78,4,2405.0,14.9,97.00,datsun 200-sx
279,29.5,98.0,78,4,2135.0,16.6,68.00,honda accord lx
294,34.1,86.0,79,4,1975.0,15.2,65.00,maxda glc deluxe
303,31.8,85.0,79,4,2020.0,19.2,65.00,datsun 210
310,38.1,89.0,80,4,1968.0,18.8,60.00,toyota corolla tercel
312,37.2,86.0,80,4,2019.0,16.4,65.00,datsun 310
318,29.8,134.0,80,4,2711.0,15.5,90.00,toyota corona liftback
319,31.3,120.0,80,4,2542.0,17.5,75.00,mazda 626
320,37.0,119.0,80,4,2434.0,15.0,92.00,datsun 510 hatchback
321,32.2,108.0,80,4,2265.0,15.2,75.00,toyota corolla
322,46.6,86.0,80,4,2110.0,17.9,65.00,mazda glc
324,40.8,85.0,80,4,2110.0,19.2,65.00,datsun 210
329,44.6,91.0,80,4,1850.0,13.8,67.00,honda civic 1500 gl
331,33.8,97.0,80,4,2145.0,18.0,67.00,subaru dl
333,32.7,168.0,80,6,2910.0,11.4,132.0,datsun 280-zx
334,23.7,70.0,80,3,2420.0,12.5,100.0,mazda rx-7 gs
337,32.4,107.0,80,4,2290.0,17.0,72.00,honda accord
343,39.1,79.0,81,4,1755.0,16.9,58.00,toyota starlet
345,35.1,81.0,81,4,1760.0,16.1,60.00,honda civic 1300
346,32.3,97.0,81,4,2065.0,17.8,67.00,subaru
347,37.0,85.0,81,4,1975.0,19.4,65.00,datsun 210 mpg
348,37.7,89.0,81,4,2050.0,17.3,62.00,toyota tercel
349,34.1,91.0,81,4,1985.0,16.0,68.00,mazda glc 4
355,33.7,107.0,81,4,2210.0,14.4,75.00,honda prelude
356,32.4,108.0,81,4,2350.0,16.8,75.00,toyota corolla
357,32.9,119.0,81,4,2615.0,14.8,100.0,datsun 200sx
358,31.6,120.0,81,4,2635.0,18.3,74.00,mazda 626
361,25.4,168.0,81,6,2900.0,12.6,116.0,toyota cressida
362,24.2,146.0,81,6,2930.0,13.8,120.0,datsun 810 maxima
376,37.0,91.0,82,4,2025.0,18.2,68.00,mazda glc custom l
377,31.0,91.0,82,4,1970.0,17.6,68.00,mazda glc custom
380,36.0,120.0,82,4,2160.0,14.5,88.00,nissan stanza xe
381,36.0,107.0,82,4,2205.0,14.5,75.00,honda accord
382,34.0,108.0,82,4,2245.0,16.9,70.00,toyota corolla
383,38.0,91.0,82,4,1965.0,15.0,67.00,honda civic
384,32.0,91.0,82,4,1965.0,15.7,67.00,honda civic (auto)
385,38.0,91.0,82,4,1995.0,16.2,67.00,datsun 310 gx
390,32.0,144.0,82,4,2665.0,13.9,96.00,toyota celica gt
