,cylinders,horsepower,mpg,displacement,acceleration,model year,weight,car_name
19,4,46.00,26.0,97.0,20.5,70,1835.0,volkswagen 1131 deluxe sedan
20,4,87.00,25.0,110.0,17.5,70,2672.0,peugeot 504
21,4,90.00,24.0,107.0,14.5,70,2430.0,audi 100 ls
22,4,95.00,25.0,104.0,17.5,70,2375.0,saab 99e
23,4,113.0,26.0,121.0,12.5,70,2234.0,bmw 2002
50,4,90.00,28.0,116.0,14.0,71,2123.0,opel 1900
51,4,70.00,30.0,79.0,19.5,71,2074.0,peugeot 304
52,4,76.00,30.0,88.0,14.5,71,2065.0,fiat 124b
55,4,60.00,27.0,97.0,19.0,71,1834.0,volkswagen model 111
59,4,54.00,23.0,97.0,23.5,72,2254.0,volkswagen type 3
76,4,112.0,18.0,121.0,14.5,72,2933.0,volvo 145e (sw)
77,4,76.00,22.0,121.0,18.0,72,2511.0,volkswagen 411 (sw)
78,4,87.00,21.0,120.0,19.5,72,2979.0,peugeot 504 (sw)
79,4,69.00,26.0,96.0,18.0,72,2189.0,renault 12 (sw)
102,4,46.00,26.0,97.0,21.0,73,1950.0,volkswagen super beetle
114,4,90.00,26.0,98.0,15.5,73,2265.0,fiat 124 sport coupe
117,4,49.00,29.0,68.0,19.5,73,1867.0,fiat 128
118,4,75.00,24.0,116.0,15.5,73,2158.0,opel manta
119,4,91.00,20.0,114.0,14.0,73,2582.0,audi 100ls
120,4,112.0,19.0,121.0,15.5,73,2868.0,volvo 144ea
122,4,110.0,24.0,121.0,14.0,73,2660.0,saab 99le
141,4,83.00,29.0,98.0,16.5,74,2219.0,audi fox
142,4,67.00,26.0,79.0,15.5,74,1963.0,volkswagen dasher
143,4,78.00,26.0,97.0,14.5,74,2300.0,opel manta
147,4,75.00,24.0,90.0,15.5,74,2108.0,fiat 128
148,4,75.00,26.0,116.0,14.0,74,2246.0,fiat 124 tc
151,4,67.00,31.0,79.0,16.0,74,2000.0,fiat x1.9
172,4,71.00,25.0,90.0,16.5,75,2223.0,volkswagen dasher
175,4,70.00,29.0,90.0,14.0,75,1937.0,volkswagen rabbit
177,4,95.00,23.0,115.0,15.0,75,2694.0,audi 100ls
178,4,88.00,23.0,120.0,17.0,75,2957.0,peugeot 504
179,4,98.00,22.0,121.0,14.5,75,2945.0,volvo 244dl
180,4,115.0,25.0,121.0,13.5,75,2671.0,saab 99le
182,4,86.00,28.0,107.0,15.5,76,2464.0,fiat 131
183,4,81.00,25.0,116.0,16.9,76,2220.0,opel 1900
186,4,83.00,27.0,101.0,15.3,76,2202.0,renault 12tl
197,4,70.00,29.0,90.0,14.2,76,1937.0,vw rabbit
203,4,71.00,29.5,97.0,12.2,76,1825.0,volkswagen rabbit
207,4,102.0,20.0,130.0,15.7,76,3150.0,volvo 245
209,4,88.00,19.0,120.0,21.9,76,3270.0,peugeot 504
211,6,120.0,16.5,168.0,16.7,76,3820.0,mercedes-benz 280s
218,4,58.00,36.0,79.0,18.6,77,1825.0,renault 5 gtl
233,4,78.00,29.0,97.0,14.5,77,1940.0,volkswagen rabbit custom
240,4,78.00,30.5,97.0,14.1,77,2190.0,volkswagen dasher
242,4,110.0,21.5,121.0,12.8,77,2600.0,bmw 320i
244,4,48.00,43.1,90.0,21.5,78,1985.0,volkswagen rabbit custom diesel
274,5,103.0,20.3,131.0,15.9,78,2830.0,audi 5000
275,6,125.0,17.0,163.0,13.6,78,3140.0,volvo 264gl
276,4,115.0,21.6,121.0,15.7,78,2795.0,saab 99gle
277,6,133.0,16.2,163.0,15.8,78,3410.0,peugeot 604sl
278,4,71.00,31.5,89.0,14.9,78,1990.0,volkswagen scirocco
293,4,71.00,31.9,89.0,14.0,79,1925.0,vw rabbit custom
297,5,77.00,25.4,183.0,20.1,79,3530.0,mercedes benz 300d
299,4,71.00,27.2,141.0,24.8,79,3190.0,peugeot 504
304,4,69.00,37.3,91.0,14.7,79,2130.0,fiat strada custom
309,4,76.00,41.5,98.0,14.7,80,2144.0,vw rabbit
317,4,78.00,34.3,97.0,15.8,80,2188.0,audi 4000
325,4,48.00,44.3,90.0,21.7,80,2085.0,vw rabbit c (diesel)
326,4,48.00,43.4,90.0,23.7,80,2335.0,vw dasher (diesel)
327,5,67.00,36.4,121.0,19.9,80,2950.0,audi 5000s (diesel)
328,4,67.00,30.0,146.0,21.8,80,3250.0,mercedes-benz 240d
332,4,62.00,29.8,89.0,15.3,80,1845.0,vokswagen rabbit
335,4,88.00,35.0,122.0,15.1,80,2500.0,triumph tr7 coupe
353,4,74.00,33.0,105.0,14.2,81,2190.0,volkswagen jetta
359,4,80.00,28.1,141.0,20.4,81,3230.0,peugeot 505s turbo diesel
360,6,76.00,30.7,145.0,19.6,81,3160.0,volvo diesel
375,4,74.00,36.0,105.0,15.3,82,1980.0,volkswagen rabbit l
394,4,52.00,44.0,97.0,24.6,82,2130.0,vw pickup
