,Mg,RI,Ba,Ca,Al,Si,Na,Fe,K
145,3.66,1.51769,0.0,8.6,1.11,72.77,13.65,0.0,0.11
146,3.53,1.5161,0.0,8.33,1.34,72.67,13.33,0.0,0.56
147,3.57,1.5167,0.0,8.44,1.38,72.7,13.24,0.1,0.56
148,3.52,1.51643,0.0,8.53,1.35,72.89,12.16,0.0,0.57
149,3.45,1.51665,0.0,8.38,1.76,72.48,13.14,0.17,0.6
150,3.9,1.52127,0.0,9.49,0.83,71.5,14.32,0.0,0.0
151,3.65,1.51779,0.0,8.93,0.65,73.0,13.64,0.0,0.06
152,3.4,1.5161,0.0,8.32,1.22,72.69,13.42,0.0,0.59
153,3.58,1.51694,0.0,8.79,1.31,72.61,12.86,0.0,0.61
154,3.4,1.51646,0.0,8.58,1.26,73.01,13.04,0.0,0.52
155,3.39,1.51655,0.0,8.65,1.28,72.64,13.41,0.0,0.52
156,3.76,1.52121,0.0,9.65,0.58,71.79,14.03,0.0,0.11
157,3.41,1.51776,0.0,8.79,1.52,72.04,13.53,0.0,0.58
158,3.36,1.51796,0.0,8.81,1.63,71.94,13.5,0.09,0.57
159,3.34,1.51832,0.0,8.99,1.54,72.14,13.33,0.0,0.56
160,3.54,1.51934,0.15,8.89,0.75,72.65,13.64,0.24,0.16
161,3.78,1.52211,0.0,9.14,0.91,71.36,14.19,0.37,0.23
