,Al,Fe,Na,Si,K,Ca,RI,Mg,Ba
0,1.36,0.0,13.89,72.73,0.48,7.83,1.51761,3.6,0.0
1,1.54,0.0,13.53,72.99,0.39,7.78,1.51618,3.55,0.0
2,1.29,0.0,13.21,72.61,0.57,8.22,1.51766,3.69,0.0
3,1.24,0.0,13.27,73.08,0.55,8.07,1.51742,3.62,0.0
4,1.62,0.26,12.79,72.97,0.64,8.07,1.51596,3.61,0.0
5,1.14,0.0,13.3,73.09,0.58,8.17,1.51743,3.6,0.0
6,1.05,0.0,13.15,73.24,0.57,8.24,1.51756,3.61,0.0
7,1.37,0.0,14.04,72.08,0.56,8.3,1.51918,3.58,0.0
8,1.36,0.11,13.0,72.99,0.57,8.4,1.51755,3.6,0.0
9,1.56,0.24,12.72,73.2,0.67,8.09,1.51571,3.46,0.0
10,1.27,0.0,12.8,73.01,0.6,8.56,1.51763,3.66,0.0
11,1.4,0.24,12.88,73.28,0.69,8.05,1.51589,3.43,0.0
12,1.27,0.17,12.86,73.21,0.54,8.38,1.51748,3.56,0.0
13,1.31,0.0,12.61,73.29,0.58,8.5,1.51763,3.59,0.0
14,1.23,0.0,12.81,73.24,0.58,8.39,1.51761,3.54,0.0
15,1.16,0.0,12.68,73.11,0.61,8.7,1.51784,3.67,0.0
16,0.89,0.0,14.36,71.36,0.15,9.15,1.52196,3.85,0.0
17,1.18,0.0,13.9,72.12,0.06,8.89,1.51911,3.73,0.0
18,1.69,0.07,13.02,72.73,0.54,8.44,1.51735,3.54,0.0
19,1.49,0.19,12.82,72.75,0.54,8.52,1.5175,3.55,0.0
20,0.29,0.0,14.77,72.02,0.03,9.0,1.51966,3.75,0.0
21,1.29,0.0,12.78,72.79,0.59,8.7,1.51736,3.62,0.0
22,1.35,0.0,12.81,73.02,0.62,8.59,1.51751,3.57,0.0
23,1.15,0.0,13.38,72.85,0.5,8.43,1.5172,3.5,0.0
24,1.21,0.0,12.98,73.0,0.65,8.53,1.51764,3.54,0.0
25,1.41,0.0,13.21,72.64,0.59,8.43,1.51793,3.48,0.0
26,1.33,0.0,12.87,73.04,0.56,8.43,1.51721,3.48,0.0
27,1.43,0.0,12.56,73.15,0.57,8.54,1.51768,3.52,0.0
28,1.28,0.0,13.08,72.86,0.6,8.49,1.51784,3.49,0.0
29,1.3,0.14,12.65,73.08,0.61,8.69,1.51768,3.56,0.0
30,1.14,0.0,12.84,73.27,0.56,8.55,1.51747,3.5,0.0
31,1.23,0.22,12.85,72.97,0.61,8.56,1.51775,3.48,0.09
32,1.38,0.06,12.57,73.39,0.6,8.55,1.51753,3.47,0.0
33,1.34,0.0,12.69,72.95,0.57,8.75,1.51783,3.54,0.0
34,1.21,0.0,13.29,72.74,0.56,8.57,1.51567,3.45,0.0
35,1.32,0.0,13.89,71.81,0.51,8.78,1.51909,3.53,0.11
36,1.35,0.0,12.74,72.96,0.64,8.68,1.51797,3.48,0.0
37,0.47,0.0,14.21,71.77,0.11,9.57,1.52213,3.82,0.0
38,0.47,0.0,14.21,71.77,0.11,9.57,1.52213,3.82,0.0
39,1.12,0.0,12.79,73.03,0.64,8.77,1.51793,3.5,0.0
40,1.2,0.0,12.71,73.2,0.59,8.64,1.51755,3.42,0.0
41,1.33,0.0,13.21,72.76,0.59,8.59,1.51779,3.39,0.0
42,0.72,0.0,13.73,71.76,0.17,9.74,1.5221,3.84,0.0
43,1.19,0.3,12.73,72.95,0.62,8.76,1.51786,3.43,0.0
44,1.35,0.0,13.49,71.95,0.55,9.0,1.519,3.48,0.0
45,1.18,0.16,13.19,72.72,0.57,8.83,1.51869,3.37,0.0
46,0.71,0.1,13.99,71.57,0.02,9.82,1.52667,3.7,0.0
47,0.79,0.0,13.21,71.99,0.13,10.02,1.52223,3.77,0.0
48,1.23,0.0,13.58,72.08,0.59,8.91,1.51898,3.35,0.0
49,0.51,0.16,13.72,71.75,0.09,10.06,1.5232,3.72,0.0
50,1.28,0.11,13.2,72.36,0.6,9.14,1.51926,3.33,0.0
51,1.19,0.0,13.43,72.84,0.55,9.03,1.51808,2.87,0.0
52,1.28,0.0,13.14,72.85,0.55,9.07,1.51837,2.84,0.0
53,1.29,0.09,13.21,72.98,0.51,9.02,1.51778,2.81,0.0
54,1.29,0.24,12.45,73.7,0.56,9.06,1.51769,2.71,0.0
55,1.12,0.31,12.99,72.98,0.62,8.35,1.51215,3.47,0.0
56,1.29,0.0,12.87,72.95,0.6,8.43,1.51824,3.48,0.0
57,1.17,0.0,13.48,72.99,0.59,8.03,1.51754,3.74,0.0
58,1.19,0.11,13.39,72.79,0.57,8.27,1.51754,3.66,0.0
59,1.11,0.0,13.6,72.64,0.14,8.76,1.51905,3.62,0.0
60,1.32,0.0,13.81,71.72,0.12,8.67,1.51977,3.58,0.69
61,0.88,0.11,13.51,71.79,0.23,9.54,1.52172,3.86,0.0
62,0.78,0.0,14.17,71.35,0.0,9.69,1.52227,3.81,0.0
63,0.9,0.07,13.48,72.01,0.18,9.61,1.52172,3.74,0.0
64,1.12,0.0,13.69,71.96,0.09,9.4,1.52099,3.59,0.0
65,0.87,0.17,13.05,72.22,0.19,9.85,1.52152,3.65,0.0
66,0.87,0.17,13.05,72.32,0.19,9.85,1.52152,3.65,0.0
67,0.9,0.16,13.12,72.2,0.23,9.82,1.52152,3.58,0.0
68,0.82,0.03,13.31,71.99,0.12,10.17,1.523,3.58,0.0
