,Al,Fe,Na,Si,K,Ca,RI,Mg,Ba
184,1.81,0.0,13.69,72.81,1.76,5.43,1.51131,3.2,1.19
185,2.22,0.0,14.32,71.25,1.46,5.79,1.51838,3.26,1.63
186,1.23,0.0,13.44,72.38,0.6,8.83,1.52315,3.34,0.0
187,2.06,0.0,14.86,70.26,0.76,9.76,1.52247,2.2,0.0
188,1.31,0.0,15.79,70.43,0.31,8.61,1.52365,1.83,1.68
189,1.79,0.0,13.88,73.1,0.0,8.67,1.51613,1.78,0.76
190,2.38,0.09,14.85,73.28,0.0,8.76,1.51602,0.0,0.64
191,2.79,0.09,14.2,73.46,0.04,9.04,1.51623,0.0,0.4
192,2.0,0.08,14.75,73.02,0.0,8.53,1.51719,0.0,1.59
193,1.98,0.07,14.56,73.29,0.0,8.52,1.51683,0.0,1.57
194,2.68,0.05,14.14,73.39,0.08,9.07,1.51545,0.0,0.61
195,2.54,0.01,13.87,73.23,0.14,9.41,1.51556,0.0,0.81
196,2.34,0.0,14.7,73.28,0.0,8.95,1.51727,0.0,0.66
197,2.66,0.0,14.38,73.1,0.04,9.08,1.51531,0.0,0.64
198,2.51,0.0,15.01,73.05,0.05,8.83,1.51609,0.0,0.53
199,2.25,0.0,15.15,73.5,0.0,8.34,1.51508,0.0,0.63
200,1.19,0.0,11.95,75.18,2.7,8.93,1.51653,0.0,0.0
201,2.42,0.0,14.85,73.72,0.0,8.39,1.51514,0.0,0.56
202,1.99,0.0,14.8,73.11,0.0,8.28,1.51658,0.0,1.71
203,2.27,0.0,14.95,73.3,0.0,8.71,1.51617,0.0,0.67
204,1.8,0.0,14.95,72.99,0.0,8.61,1.51732,0.0,1.55
205,1.87,0.0,14.94,73.11,0.0,8.67,1.51645,0.0,1.38
206,1.82,0.0,14.39,72.86,1.41,6.47,1.51831,0.0,2.88
207,2.74,0.0,14.37,72.85,0.0,9.45,1.5164,0.0,0.54
208,2.88,0.0,14.14,72.61,0.08,9.18,1.51623,0.0,1.06
209,1.99,0.0,14.92,73.06,0.0,8.4,1.51685,0.0,1.59
210,2.02,0.0,14.36,73.42,0.0,8.44,1.52065,0.0,1.64
211,1.94,0.0,14.38,73.61,0.0,8.48,1.51651,0.0,1.57
212,2.08,0.0,14.23,73.36,0.0,8.62,1.51711,0.0,1.67
