,Mg,RI,Ba,Ca,Al,Si,Na,Fe,K
184,3.2,1.51131,1.19,5.43,1.81,72.81,13.69,0.0,1.76
185,3.26,1.51838,1.63,5.79,2.22,71.25,14.32,0.0,1.46
186,3.34,1.52315,0.0,8.83,1.23,72.38,13.44,0.0,0.6
187,2.2,1.52247,0.0,9.76,2.06,70.26,14.86,0.0,0.76
188,1.83,1.52365,1.68,8.61,1.31,70.43,15.79,0.0,0.31
189,1.78,1.51613,0.76,8.67,1.79,73.1,13.88,0.0,0.0
190,0.0,1.51602,0.64,8.76,2.38,73.28,14.85,0.09,0.0
191,0.0,1.51623,0.4,9.04,2.79,73.46,14.2,0.09,0.04
192,0.0,1.51719,1.59,8.53,2.0,73.02,14.75,0.08,0.0
193,0.0,1.51683,1.57,8.52,1.98,73.29,14.56,0.07,0.0
194,0.0,1.51545,0.61,9.07,2.68,73.39,14.14,0.05,0.08
195,0.0,1.51556,0.81,9.41,2.54,73.23,13.87,0.01,0.14
196,0.0,1.51727,0.66,8.95,2.34,73.28,14.7,0.0,0.0
197,0.0,1.51531,0.64,9.08,2.66,73.1,14.38,0.0,0.04
198,0.0,1.51609,0.53,8.83,2.51,73.05,15.01,0.0,0.05
199,0.0,1.51508,0.63,8.34,2.25,73.5,15.15,0.0,0.0
200,0.0,1.51653,0.0,8.93,1.19,75.18,11.95,0.0,2.7
201,0.0,1.51514,0.56,8.39,2.42,73.72,14.85,0.0,0.0
202,0.0,1.51658,1.71,8.28,1.99,73.11,14.8,0.0,0.0
203,0.0,1.51617,0.67,8.71,2.27,73.3,14.95,0.0,0.0
204,0.0,1.51732,1.55,8.61,1.8,72.99,14.95,0.0,0.0
205,0.0,1.51645,1.38,8.67,1.87,73.11,14.94,0.0,0.0
206,0.0,1.51831,2.88,6.47,1.82,72.86,14.39,0.0,1.41
207,0.0,1.5164,0.54,9.45,2.74,72.85,14.37,0.0,0.0
208,0.0,1.51623,1.06,9.18,2.88,72.61,14.14,0.0,0.08
209,0.0,1.51685,1.59,8.4,1.99,73.06,14.92,0.0,0.0
210,0.0,1.52065,1.64,8.44,2.02,73.42,14.36,0.0,0.0
211,0.0,1.51651,1.57,8.48,1.94,73.61,14.38,0.0,0.0
212,0.0,1.51711,1.67,8.62,2.08,73.36,14.23,0.0,0.0
