,Al,Fe,Na,Si,K,Ca,RI,Mg,Ba
69,1.74,0.12,14.86,71.87,0.16,7.36,1.51574,3.67,0.0
70,1.27,0.32,13.64,71.96,0.54,8.32,1.51848,3.87,0.0
71,1.52,0.0,13.09,73.1,0.67,7.83,1.51593,3.59,0.0
72,1.57,0.0,13.34,72.87,0.61,7.89,1.51631,3.57,0.0
73,1.54,0.0,13.02,73.11,0.72,7.9,1.51596,3.56,0.0
74,1.51,0.0,13.02,73.12,0.69,7.96,1.5159,3.58,0.0
75,1.54,0.0,13.44,72.39,0.66,8.03,1.51645,3.61,0.0
76,1.54,0.0,13.0,72.83,0.61,8.04,1.51627,3.58,0.0
77,1.25,0.14,13.92,72.88,0.37,7.94,1.51613,3.52,0.0
78,1.9,0.0,12.82,72.86,0.69,7.97,1.5159,3.52,0.0
79,2.12,0.0,12.86,72.66,0.69,7.97,1.51592,3.52,0.0
80,1.43,0.0,13.25,73.17,0.61,7.86,1.51593,3.45,0.0
81,1.25,0.0,13.41,72.81,0.68,8.1,1.51646,3.55,0.0
82,1.55,0.09,13.09,72.87,0.68,8.05,1.51594,3.52,0.0
83,2.08,0.0,14.25,72.28,1.1,7.08,1.51409,3.09,0.0
84,1.49,0.0,13.36,72.72,0.45,8.21,1.51625,3.58,0.0
85,1.47,0.0,13.24,73.25,0.38,8.03,1.51569,3.49,0.0
86,1.52,0.1,13.4,72.65,0.67,8.08,1.51645,3.49,0.0
87,1.48,0.0,13.01,72.89,0.6,8.12,1.51618,3.5,0.0
88,1.87,0.09,12.55,73.23,0.63,8.08,1.5164,3.48,0.0
89,1.11,0.22,12.93,72.28,0.64,8.96,1.51841,3.74,0.0
90,1.45,0.0,12.9,73.06,0.44,8.27,1.51605,3.44,0.0
91,1.58,0.19,13.12,73.26,0.07,8.39,1.51588,3.41,0.0
92,1.47,0.0,13.24,73.1,0.39,8.22,1.5159,3.34,0.0
93,1.49,0.0,12.71,73.28,0.67,8.24,1.51629,3.33,0.0
94,1.43,0.0,13.36,72.26,0.51,8.6,1.5186,3.43,0.0
95,1.06,0.15,13.02,72.34,0.64,9.13,1.51841,3.62,0.0
96,1.16,0.24,12.2,73.55,0.62,8.9,1.51743,3.25,0.0
97,1.71,0.0,12.67,73.21,0.73,8.54,1.51689,2.88,0.0
