,Mg,RI,Ba,Ca,Al,Si,Na,Fe,K
0,3.6,1.51761,0.0,7.83,1.36,72.73,13.89,0.0,0.48
1,3.55,1.51618,0.0,7.78,1.54,72.99,13.53,0.0,0.39
2,3.69,1.51766,0.0,8.22,1.29,72.61,13.21,0.0,0.57
3,3.62,1.51742,0.0,8.07,1.24,73.08,13.27,0.0,0.55
4,3.61,1.51596,0.0,8.07,1.62,72.97,12.79,0.26,0.64
5,3.6,1.51743,0.0,8.17,1.14,73.09,13.3,0.0,0.58
6,3.61,1.51756,0.0,8.24,1.05,73.24,13.15,0.0,0.57
7,3.58,1.51918,0.0,8.3,1.37,72.08,14.04,0.0,0.56
8,3.6,1.51755,0.0,8.4,1.36,72.99,13.0,0.11,0.57
9,3.46,1.51571,0.0,8.09,1.56,73.2,12.72,0.24,0.67
10,3.66,1.51763,0.0,8.56,1.27,73.01,12.8,0.0,0.6
11,3.43,1.51589,0.0,8.05,1.4,73.28,12.88,0.24,0.69
12,3.56,1.51748,0.0,8.38,1.27,73.21,12.86,0.17,0.54
13,3.59,1.51763,0.0,8.5,1.31,73.29,12.61,0.0,0.58
14,3.54,1.51761,0.0,8.39,1.23,73.24,12.81,0.0,0.58
15,3.67,1.51784,0.0,8.7,1.16,73.11,12.68,0.0,0.61
16,3.85,1.52196,0.0,9.15,0.89,71.36,14.36,0.0,0.15
17,3.73,1.51911,0.0,8.89,1.18,72.12,13.9,0.0,0.06
18,3.54,1.51735,0.0,8.44,1.69,72.73,13.02,0.07,0.54
19,3.55,1.5175,0.0,8.52,1.49,72.75,12.82,0.19,0.54
20,3.75,1.51966,0.0,9.0,0.29,72.02,14.77,0.0,0.03
21,3.62,1.51736,0.0,8.7,1.29,72.79,12.78,0.0,0.59
22,3.57,1.51751,0.0,8.59,1.35,73.02,12.81,0.0,0.62
23,3.5,1.5172,0.0,8.43,1.15,72.85,13.38,0.0,0.5
24,3.54,1.51764,0.0,8.53,1.21,73.0,12.98,0.0,0.65
25,3.48,1.51793,0.0,8.43,1.41,72.64,13.21,0.0,0.59
26,3.48,1.51721,0.0,8.43,1.33,73.04,12.87,0.0,0.56
27,3.52,1.51768,0.0,8.54,1.43,73.15,12.56,0.0,0.57
28,3.49,1.51784,0.0,8.49,1.28,72.86,13.08,0.0,0.6
29,3.56,1.51768,0.0,8.69,1.3,73.08,12.65,0.14,0.61
30,3.5,1.51747,0.0,8.55,1.14,73.27,12.84,0.0,0.56
31,3.48,1.51775,0.09,8.56,1.23,72.97,12.85,0.22,0.61
32,3.47,1.51753,0.0,8.55,1.38,73.39,12.57,0.06,0.6
33,3.54,1.51783,0.0,8.75,1.34,72.95,12.69,0.0,0.57
34,3.45,1.51567,0.0,8.57,1.21,72.74,13.29,0.0,0.56
35,3.53,1.51909,0.11,8.78,1.32,71.81,13.89,0.0,0.51
36,3.48,1.51797,0.0,8.68,1.35,72.96,12.74,0.0,0.64
37,3.82,1.52213,0.0,9.57,0.47,71.77,14.21,0.0,0.11
38,3.82,1.52213,0.0,9.57,0.47,71.77,14.21,0.0,0.11
39,3.5,1.51793,0.0,8.77,1.12,73.03,12.79,0.0,0.64
40,3.42,1.51755,0.0,8.64,1.2,73.2,12.71,0.0,0.59
41,3.39,1.51779,0.0,8.59,1.33,72.76,13.21,0.0,0.59
42,3.84,1.5221,0.0,9.74,0.72,71.76,13.73,0.0,0.17
43,3.43,1.51786,0.0,8.76,1.19,72.95,12.73,0.3,0.62
44,3.48,1.519,0.0,9.0,1.35,71.95,13.49,0.0,0.55
45,3.37,1.51869,0.0,8.83,1.18,72.72,13.19,0.16,0.57
46,3.7,1.52667,0.0,9.82,0.71,71.57,13.99,0.1,0.02
47,3.77,1.52223,0.0,10.02,0.79,71.99,13.21,0.0,0.13
48,3.35,1.51898,0.0,8.91,1.23,72.08,13.58,0.0,0.59
49,3.72,1.5232,0.0,10.06,0.51,71.75,13.72,0.16,0.09
50,3.33,1.51926,0.0,9.14,1.28,72.36,13.2,0.11,0.6
51,2.87,1.51808,0.0,9.03,1.19,72.84,13.43,0.0,0.55
52,2.84,1.51837,0.0,9.07,1.28,72.85,13.14,0.0,0.55
53,2.81,1.51778,0.0,9.02,1.29,72.98,13.21,0.09,0.51
54,2.71,1.51769,0.0,9.06,1.29,73.7,12.45,0.24,0.56
55,3.47,1.51215,0.0,8.35,1.12,72.98,12.99,0.31,0.62
56,3.48,1.51824,0.0,8.43,1.29,72.95,12.87,0.0,0.6
57,3.74,1.51754,0.0,8.03,1.17,72.99,13.48,0.0,0.59
58,3.66,1.51754,0.0,8.27,1.19,72.79,13.39,0.11,0.57
59,3.62,1.51905,0.0,8.76,1.11,72.64,13.6,0.0,0.14
60,3.58,1.51977,0.69,8.67,1.32,71.72,13.81,0.0,0.12
61,3.86,1.52172,0.0,9.54,0.88,71.79,13.51,0.11,0.23
62,3.81,1.52227,0.0,9.69,0.78,71.35,14.17,0.0,0.0
63,3.74,1.52172,0.0,9.61,0.9,72.01,13.48,0.07,0.18
64,3.59,1.52099,0.0,9.4,1.12,71.96,13.69,0.0,0.09
65,3.65,1.52152,0.0,9.85,0.87,72.22,13.05,0.17,0.19
66,3.65,1.52152,0.0,9.85,0.87,72.32,13.05,0.17,0.19
67,3.58,1.52152,0.0,9.82,0.9,72.2,13.12,0.16,0.23
68,3.58,1.523,0.0,10.17,0.82,71.99,13.31,0.03,0.12
