,Al,Fe,Na,Si,K,Ca,RI,Mg,Ba
162,3.5,0.0,14.01,69.89,1.68,5.87,1.51514,2.68,2.2
163,1.86,0.0,12.73,72.69,0.6,10.09,1.51915,1.85,0.0
164,1.56,0.0,11.56,72.86,0.47,11.41,1.52171,1.88,0.0
165,1.56,0.0,11.03,73.44,0.58,11.62,1.52151,1.71,0.0
166,1.65,0.0,12.64,73.75,0.38,11.53,1.51969,0.0,0.0
167,1.83,0.0,12.86,73.88,0.97,10.17,1.51666,0.0,0.0
168,1.76,0.0,13.27,73.03,0.47,11.32,1.51994,0.0,0.0
169,1.58,0.0,13.44,72.22,0.32,12.24,1.52369,0.0,0.0
170,3.04,0.0,13.02,70.48,6.21,6.96,1.51316,0.0,0.0
171,3.02,0.0,13.0,70.7,6.21,6.93,1.51321,0.0,0.0
172,1.4,0.0,13.38,72.25,0.33,12.5,1.52043,0.0,0.0
173,2.17,0.51,12.85,72.18,0.76,9.7,1.52058,1.61,0.24
174,1.51,0.28,12.97,73.39,0.13,11.27,1.52119,0.33,0.0
