,length_groove,asymmetry_coeff,perimeter,area,width_kernel,compactness,length_kernel
0,5.22,2.221,14.84,15.26,3.312,0.871,5.763
1,4.956,1.018,14.57,14.88,3.333,0.8811,5.554
2,4.825,2.699,14.09,14.29,3.337,0.905,5.291
3,4.805,2.259,13.94,13.84,3.379,0.8955,5.324
4,5.175,1.355,14.99,16.14,3.562,0.9034,5.658
5,4.956,2.462,14.21,14.38,3.312,0.8951,5.386
6,5.219,3.586,14.49,14.69,3.259,0.8799,5.563
7,5.0,2.7,14.1,14.11,3.302,0.8911,5.42
8,5.877,2.04,15.46,16.63,3.465,0.8747,6.053
9,5.533,1.969,15.25,16.44,3.505,0.888,5.884
10,5.314,4.543,14.85,15.26,3.242,0.8696,5.714
11,5.001,1.717,14.16,14.03,3.201,0.8796,5.438
12,4.738,3.986,14.02,13.89,3.199,0.888,5.439
13,4.872,3.136,14.06,13.78,3.156,0.8759,5.479
14,4.825,2.932,14.05,13.74,3.114,0.8744,5.482
15,4.781,4.185,14.28,14.59,3.333,0.8993,5.351
16,4.781,5.234,13.83,13.99,3.383,0.9183,5.119
17,5.046,1.599,14.75,15.69,3.514,0.9058,5.527
18,4.649,1.767,14.21,14.7,3.466,0.9153,5.205
19,4.914,4.102,13.57,12.72,3.049,0.8686,5.226
20,5.176,3.072,14.4,14.16,3.129,0.8584,5.658
21,5.219,2.688,14.26,14.11,3.168,0.8722,5.52
22,5.091,0.7651,14.9,15.88,3.507,0.8988,5.618
23,4.961,1.415,13.23,12.08,2.936,0.8664,5.099
24,5.001,1.791,14.76,15.01,3.245,0.8657,5.789
25,5.307,0.903,15.16,16.19,3.421,0.8849,5.833
26,4.825,3.373,13.76,13.02,3.026,0.8641,5.395
27,4.869,2.504,13.67,12.74,2.956,0.8564,5.395
28,5.038,2.754,14.18,14.11,3.221,0.882,5.541
29,5.097,3.531,14.02,13.45,3.065,0.8604,5.516
30,5.056,0.8551,13.82,13.16,2.975,0.8662,5.454
31,5.228,3.412,14.94,15.49,3.371,0.8724,5.757
32,5.299,3.92,14.41,14.09,3.186,0.8529,5.717
33,5.012,2.124,14.17,13.94,3.15,0.8728,5.585
34,5.36,2.129,14.68,15.05,3.328,0.8779,5.712
35,5.443,2.27,15.0,16.12,3.485,0.9,5.709
36,5.527,2.823,15.27,16.2,3.464,0.8734,5.826
37,5.484,2.956,15.38,17.08,3.683,0.9079,5.832
38,5.309,3.112,14.52,14.8,3.288,0.8823,5.656
39,5.001,6.685,14.17,14.28,3.298,0.8944,5.397
40,5.178,2.587,13.85,13.54,3.156,0.8871,5.348
41,5.176,2.249,13.85,13.5,3.158,0.8852,5.351
42,4.783,2.461,13.55,13.16,3.201,0.9009,5.138
43,5.528,4.711,14.86,15.5,3.396,0.882,5.877
44,5.18,3.128,14.54,15.11,3.462,0.8986,5.579
45,4.961,1.56,14.04,13.8,3.155,0.8794,5.376
46,5.132,1.367,14.76,15.36,3.393,0.8861,5.701
47,5.175,2.958,14.56,14.99,3.377,0.8883,5.57
48,5.111,2.704,14.52,14.79,3.291,0.8819,5.545
49,5.351,2.129,14.67,14.86,3.258,0.8676,5.678
50,5.144,3.975,14.4,14.43,3.272,0.8751,5.585
51,5.136,5.593,14.91,15.78,3.434,0.8923,5.674
52,5.396,4.116,14.61,14.49,3.113,0.8538,5.715
53,5.224,3.328,14.28,14.33,3.199,0.8831,5.504
54,5.487,1.481,14.6,14.52,3.113,0.8557,5.741
55,5.439,1.933,14.77,15.03,3.212,0.8658,5.702
56,5.044,2.802,14.35,14.46,3.377,0.8818,5.388
57,5.088,1.142,14.43,14.92,3.412,0.9006,5.384
58,5.222,1.999,14.77,15.38,3.419,0.8857,5.662
59,4.519,1.502,13.47,12.11,3.032,0.8392,5.159
60,4.607,2.7,12.86,11.42,2.85,0.8683,5.008
61,4.703,2.269,12.63,11.23,2.879,0.884,4.902
62,4.605,3.22,13.19,12.36,3.042,0.8923,5.076
63,5.088,4.157,13.84,13.22,3.07,0.868,5.395
64,4.782,1.176,13.57,12.78,3.026,0.8716,5.262
65,4.607,2.352,13.5,12.88,3.119,0.8879,5.139
66,5.15,1.313,14.37,14.34,3.19,0.8726,5.63
67,5.132,2.217,14.29,14.01,3.158,0.8625,5.609
68,5.3,1.464,14.39,14.37,3.153,0.8726,5.569
69,5.067,3.533,13.75,12.73,2.882,0.8458,5.412
