,area,perimeter,compactness,length_groove,length_kernel,asymmetry_coeff,width_kernel
140,13.07,13.92,0.848,5.395,5.472,5.304,2.994
141,13.32,13.94,0.8613,5.44,5.541,7.035,3.073
142,13.34,13.95,0.862,5.307,5.389,5.995,3.074
143,12.22,13.32,0.8652,5.221,5.224,5.469,2.967
144,11.82,13.4,0.8274,5.178,5.314,4.471,2.777
145,11.21,13.13,0.8167,5.275,5.279,6.169,2.687
146,11.43,13.13,0.8335,5.132,5.176,2.221,2.719
147,12.49,13.46,0.8658,5.002,5.267,4.421,2.967
148,12.7,13.71,0.8491,5.316,5.386,3.26,2.911
149,10.79,12.93,0.8107,5.194,5.317,5.462,2.648
150,11.83,13.23,0.8496,5.307,5.263,5.195,2.84
151,12.01,13.52,0.8249,5.27,5.405,6.992,2.776
152,12.26,13.6,0.8333,5.36,5.408,4.756,2.833
153,11.18,13.04,0.8266,5.001,5.22,3.332,2.693
154,11.36,13.05,0.8382,5.263,5.175,4.048,2.755
155,11.19,13.05,0.8253,5.219,5.25,5.813,2.675
156,11.34,12.87,0.8596,5.003,5.053,3.347,2.849
157,12.13,13.73,0.8081,5.22,5.394,4.825,2.745
158,11.75,13.52,0.8082,5.31,5.444,4.378,2.678
159,11.49,13.22,0.8263,5.31,5.304,5.388,2.695
160,12.54,13.67,0.8425,5.491,5.451,3.082,2.879
161,12.02,13.33,0.8503,5.308,5.35,4.271,2.81
162,12.05,13.41,0.8416,5.046,5.267,4.988,2.847
163,12.55,13.57,0.8558,5.176,5.333,4.419,2.968
164,11.14,12.79,0.8558,5.049,5.011,6.388,2.794
165,12.1,13.15,0.8793,5.056,5.105,2.201,2.941
166,12.44,13.59,0.8462,5.27,5.319,4.924,2.897
167,12.15,13.45,0.8443,5.338,5.417,3.638,2.837
168,11.35,13.12,0.8291,5.132,5.176,4.337,2.668
169,11.24,13.0,0.8359,5.088,5.09,3.521,2.715
170,11.02,13.0,0.8189,5.163,5.325,6.735,2.701
171,11.55,13.1,0.8455,4.956,5.167,6.715,2.845
172,11.27,12.97,0.8419,5.0,5.088,4.309,2.763
173,11.4,13.08,0.8375,5.089,5.136,5.588,2.763
174,10.83,12.96,0.8099,5.185,5.278,5.182,2.641
175,10.8,12.57,0.859,5.063,4.981,4.773,2.821
176,11.26,13.01,0.8355,5.092,5.186,5.335,2.71
177,10.74,12.73,0.8329,4.963,5.145,4.702,2.642
178,11.48,13.05,0.8473,5.002,5.18,5.876,2.758
179,12.21,13.47,0.8453,5.178,5.357,1.661,2.893
180,11.41,12.95,0.856,4.825,5.09,4.957,2.775
181,12.46,13.41,0.8706,5.147,5.236,4.987,3.017
182,12.19,13.36,0.8579,5.158,5.24,4.857,2.909
183,11.65,13.07,0.8575,5.135,5.108,5.209,2.85
184,12.89,13.77,0.8541,5.316,5.495,6.185,3.026
185,11.56,13.31,0.8198,5.182,5.363,4.062,2.683
186,11.81,13.45,0.8198,5.352,5.413,4.898,2.716
187,10.91,12.8,0.8372,4.956,5.088,4.179,2.675
188,11.23,12.82,0.8594,4.957,5.089,7.524,2.821
189,10.59,12.41,0.8648,4.794,4.899,4.975,2.787
190,10.93,12.8,0.839,5.045,5.046,5.398,2.717
191,11.27,12.86,0.8563,5.001,5.091,3.985,2.804
192,11.87,13.02,0.8795,5.132,5.132,3.597,2.953
193,10.82,12.83,0.8256,5.089,5.18,4.853,2.63
194,12.11,13.27,0.8639,5.012,5.236,4.132,2.975
195,12.8,13.47,0.886,4.914,5.16,4.873,3.126
196,12.79,13.53,0.8786,4.958,5.224,5.483,3.054
197,13.37,13.78,0.8849,5.091,5.32,4.67,3.128
198,12.62,13.67,0.8481,5.231,5.41,3.306,2.911
199,12.76,13.38,0.8964,4.83,5.073,2.828,3.155
200,12.38,13.44,0.8609,5.045,5.219,5.472,2.989
201,12.67,13.32,0.8977,4.745,4.984,2.3,3.135
202,11.18,12.72,0.868,4.828,5.009,4.051,2.81
203,12.7,13.41,0.8874,5.0,5.183,8.456,3.091
204,12.37,13.47,0.8567,5.001,5.204,3.919,2.96
205,12.19,13.2,0.8783,4.87,5.137,3.631,2.981
206,11.23,12.88,0.8511,5.003,5.14,4.325,2.795
207,13.2,13.66,0.8883,5.056,5.236,8.315,3.232
208,11.84,13.21,0.8521,5.044,5.175,3.598,2.836
209,12.3,13.34,0.8684,5.063,5.243,5.637,2.974
